Product,Country,Conglomerate,Food Form,Preservation,Natural,Date,Year,Quarter,Sum of Total Weight (lbs),Sum of Sales Value USD
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,1/1/2011,2011,1Q11,3297231,7746056
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,2/1/2011,2011,1Q11,2757459,6585410
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,3/1/2011,2011,1Q11,2988629,7065595
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,4/1/2011,2011,2Q11,3142807,7322146
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,5/1/2011,2011,2Q11,3519402,8341621
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,6/1/2011,2011,2Q11,3191905,7707603
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,7/1/2011,2011,3Q11,3930572,8899279
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,8/1/2011,2011,3Q11,3661692,8209745
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,9/1/2011,2011,3Q11,3525180,7714118
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,10/1/2011,2011,4Q11,4072180,8957886
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,11/1/2011,2011,4Q11,3665889,8008410
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,12/1/2011,2011,4Q11,4492055,9697578
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,1/1/2012,2012,1Q12,4391941,9586926
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,2/1/2012,2012,1Q12,3795849,8264172
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,3/1/2012,2012,1Q12,3859025,8435335
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,4/1/2012,2012,2Q12,3732637,8209244
PETFOOD,United States of America,BIG HEART PET (DEL MONTE),DRY,OTHER,NATURAL,5/1/2012,2012,2Q12,4609958,9909858
